,names
0,visual studio
1,general assembly
2,markdown
3,ford
4,google
5,pandas
6,wikipedia
7,ebay
8,notre dame
9,merriam-webster
10,linux
11,django
12,english
13,samsung
14,pfizer
15,fibonacci
16,python software foundation
17,chipotle
18,khan academy
19,plotly
20,heroku
21,microsoft
22,cisco
23,jupyter
24,new york times
25,kubernetes
26,firefox
27,spanish
28,continuum anaconda
29,data umbrella
30,easter
31,meetup
32,chrome
33,twitter
34,etsy
35,tesla
36,binder
37,python
38,salesforce
39,porsche
40,amazon
41,matplotlib
42,dask
43,washington post
44,red bull
45,airbnb
46,duke university
47,excel
48,windows
49,east
50,merck
51,qt
52,twilio
53,poshmark
54,flask
55,seaborn
56,facebook
57,apache
