,places
0,united states
1,san francisco
2,chad
3,new york city
4,nashville
5,pennsylvania
6,london
7,sydney
8,north america
9,russia
10,america
11,beijing
12,indonesia
13,australia
14,europe
15,africa
16,edinburgh
17,new york
18,lisbon
19,lima
20,long island
21,richmond
22,san fran
23,massachusetts
24,new jersey
25,california
26,manhattan
27,los angeles
28,washington
29,staten island
30,university of oxford
31,portugal
32,illinois
33,paris
34,india
35,bronx
36,columbia university
37,rome
38,maine
39,queens
40,brooklyn
41,scotland
42,afghanistan
43,connecticut
44,palestine
